ride_id,customer_id,driver_id,city,pickup_area,drop_area,pickup_time,vehicle_type,distance_km,duration_min,demand_level,nearby_drivers,weather,surge_multiplier,base_fare,final_fare,payment_method,ride_status,customer_rating
RPD101737,CUST1538,DRV109,Bangalore,Jayanagar,Jayanagar,2026-06-28 03:47:00,,2.17,21.2,Medium,26.0,,1.09,41.04,44.73,UPI,Cancelled by Driver,
RPD100673,CUST2062,DRV720,BANGALORE,Koramangala,Jayanagar,2026-06-14 13:33:00,Cab Economy,5.51,12.3,Very High,27.0,Heavy Rain,1.95,81.12,158.18,upi,completed,4.8
RPD100450,CUST3670,DRV552,hyderabad ,Banjara Hills,Banjara Hills,2026-06-23 00:52:00,Cab Premium,3.62,17.4,Low,19.0,Cloudy,1.08,80.16,86.57,Wallet,Ongoing,
RPD102088,CUST1816,DRV224,Bengaluru,MG Road,Indiranagar,2026-06-20 09:08:00,Bike,2.78,8.7,Very High,5.0,Clear,1.96,31.68,62.09,cash ,COMPLETED,4.4
RPD101775,CUST1226,DRV185,BANGALORE,Electronic City,Jayanagar,2026-07-12 01:21:00,Bike,3.77,22.1,Medium,17.0,Clear,1.03,37.62,38.75,Wallet,Completed,4.1
RPD101496,CUST3646,DRV122,Bangalore,Indiranagar,Indiranagar,03/06/2026 13:06,Auto,4.43,19.6,Very High,20.0,Rain,1.87,54.87,102.61,Cash,Completed,
RPD101679,CUST3987,DRV582,Hyderabad,Gachibowli,Banjara Hills,2026-07-11 13:53:00,Bike,1.65,21.5,Medium,20.0,Fog,1.25,24.9,31.12,Card,COMPLETED,4.9
RPD104241,CUST2625,DRV682,Pune,Baner,Baner,23/06/2026 16:05,auto,5.51,25.2,Low,20.0,Cloudy,1.06,64.59,68.47,wallet,COMPLETED,4.7
RPD102859,CUST1705,,Pune,Baner,Hinjewadi,28/06/2026 05:19,,10.5,52.6,Low,11.0,Fog,1.0,141.0,141.0,upi,Cancelled by Customer,
RPD102839,CUST2513,DRV531,Bangalore,Jayanagar,Electronic City,2026-07-09 13:02:00,Cab Economy,4.11,6.2,Low,31.0,Fog,1.0,64.32,64.32,Wallet,COMPLETED,5.0
RPD104691,CUST1015,DRV302,Bangalore,MG Road,Koramangala,14-Jun-2026 06:00 PM,Bike,3.65,12.6,High,12.0,Fog,1.34,36.9,49.45,,Completed,5.0
RPD104491,CUST1272,DRV439,Pune,Camp,Viman Nagar,06/07/2026 01:59,Cab Premium,2.09,24.2,Low,17.0,Cloudy,1.0,52.62,52.62,,Cancelled by Driver,
RPD104940,CUST2266,,mumbai,Borivali,Borivali,2026-07-02 12:41:00,BIKE,7.21,15.8,Low,13.0,Fog,1.0,58.26,58.26,Cash,Cancelled by Customer,
RPD101507,CUST3900,DRV476,Hyderabad,Banjara Hills,Kukatpally,2026-06-21 12:39:00,,2.75,19.5,Very High,15.0,Heavy Rain,1.94,48.0,93.12,upi,Cancelled by Driver,
RPD104336,CUST1072,,hyderabad ,Hitech City,Hitech City,2026-06-27 12:41:00,cab economy,1.97,39.8,Low,17.0,Cloudy,1.0,38.64,38.64,UPI,Cancelled by Customer,
RPD103573,CUST3975,DRV649,Hyderabad,Banjara Hills,Gachibowli,2026-07-05 20:08:00,Bike,2.88,18.5,High,0.0,Cloudy,1.35,32.28,43.58,wallet,Ongoing,
RPD100447,CUST2477,,mumbai,Powai,Bandra,08-Jun-2026 06:28 AM,cab economy,999.0,13.6,Very High,24.0,Heavy Rain,1.91,12003.0,22925.73,cash ,Cancelled by Customer,
RPD102129,CUST3355,DRV199,Hyderabad,Madhapur,Madhapur,2026-06-28 15:41:00,Cab Economy,2.75,6.4,Medium,23.0,,1.15,48.0,,Card,Cancelled by Driver,
RPD102742,CUST3915,DRV741,hyderabad ,Banjara Hills,Hitech City,2026-06-27 18:11:00,Auto,2.08,12.5,Very High,7.0,Heavy Rain,1.86,33.72,62.72,Wallet,COMPLETED,4.6
